country,iso_code,year,renewables_share_elec,fossil_share_elec
Democratic Republic of Congo,COD,2023,100.0,0.0
Iceland,ISL,2023,100.0,0.0
Ethiopia,ETH,2023,100.0,0.0
Central African Republic,CAF,2023,100.0,0.0
Albania,ALB,2023,100.0,0.0
Paraguay,PRY,2023,100.0,0.0
Nepal,NPL,2023,100.0,0.0
Bhutan,BTN,2023,100.0,0.0
Costa Rica,CRI,2023,99.9146728515625,0.085324227809906
Norway,NOR,2023,98.470344543457045,1.529649019241333
